Year,State,Type,Length,Expense,Value,Region
2017,Florida,Private,4-year,Room/Board,11515,Southeast
2014,Connecticut,Public In-State,4-year,Room/Board,11514,Northeast
2014,Connecticut,Public Out-of-State,4-year,Room/Board,11514,Northeast
2021,Pennsylvania,Public In-State,4-year,Room/Board,11508,Northeast
2021,Pennsylvania,Public Out-of-State,4-year,Room/Board,11508,Northeast
2015,Michigan,Public In-State,4-year,Fees/Tuition,11507,Midwest
2016,Rhode Island,Public Out-of-State,2-year,Fees/Tuition,11496,Northeast
2017,Rhode Island,Public Out-of-State,2-year,Fees/Tuition,11496,Northeast
2015,Delaware,Public In-State,4-year,Fees/Tuition,11492,Northeast
2018,Hawaii,Public In-State,4-year,Room/Board,11492,West
2018,Hawaii,Public Out-of-State,4-year,Room/Board,11492,West
2018,Washington,Public In-State,4-year,Room/Board,11492,West
2018,Washington,Public Out-of-State,4-year,Room/Board,11492,West
2019,Illinois,Public Out-of-State,2-year,Fees/Tuition,11480,Midwest
2017,New Hampshire,Public In-State,4-year,Room/Board,11477,Northeast
2017,New Hampshire,Public Out-of-State,4-year,Room/Board,11477,Northeast
2019,Pennsylvania,Public In-State,4-year,Room/Board,11475,Northeast
2019,Pennsylvania,Public Out-of-State,4-year,Room/Board,11475,Northeast
2016,Colorado,Public In-State,4-year,Room/Board,11466,West
2016,Colorado,Public Out-of-State,4-year,Room/Board,11466,West
2014,Arizona,Private,4-year,Fees/Tuition,11462,Southwest
2014,Vermont,Private,4-year,Room/Board,11460,Northeast
2013,Pennsylvania,Private,4-year,Room/Board,11459,Northeast
2017,Washington,Private,4-year,Room/Board,11458,West
2019,Virginia,Public Out-of-State,2-year,Fees/Tuition,11455,Southeast
2020,Illinois,Public Out-of-State,2-year,Fees/Tuition,11450,Midwest
